row,alt,temp,wind,ph,pressure,cloud,sunlight
1,200,32,2,6,10,7,15
2,210,32,2,6,10,7,15
3,230,31.8,3,6,10,6.5,15
4,280,31.5,3,5.8,10,7,15
5,380,31.2,3,5.8,10,7,15
6,340,32.2,3,5.9,10,7,15
7,380,31.2,3,5.8,10,7,14
8,510,32.1,4,5.8,10,7,14
9,510,32.3,4,5.8,11,8,15
10,710,32.3,4,5.8,11,8,15
11,735,30,5,5.7,11,8,15
12,905,29.1,6,5.7,11,8,15
13,970,29.3,6,5.7,11,8,15
14,1110,29,5,5.8,11,8,15
15,1290,27.9,6,5.9,16,7,15
16,1310,27.8,6,5.9,16,7,15
17,220,32,2,6,10,7,15
18,210,32,2,6,10,7,15
19,250,31.5,3,6,12,7,15
20,300,31.5,3,6,13,7.1,15
21,455,32.2,3,5.9,10,7.2,16
22,355,32.2,3,5.9,10,7,15
23,810,30.2,4,5.8,11,7.3,16
24,1060,29.3,4,5.9,11,7.3,15
25,1160,29.1,5,5.8,12,7.3,15
26,1260,29,5,5.8,12,7.3,15
27,1440,27.7,7,5.9,12,7.3,15
28,1740,25.6,8,5.9,12,7.3,15
29,1715,25,8,5.9,12,7.3,15
30,1395,26.1,8,5.9,12,7.3,15
31,1300,27.8,6,5.9,16,7,15
32,1270,27.4,7,5.2,16,7,16
33,230,31.8,2,6,10,7,15
34,230,31.8,3,6,10,7,15
35,250,31.5,3,6,12,7.2,15
36,280,31.5,3,5.8,10,7,15
37,530,31.2,4,5.8,10,7.2,16
38,560,31.2,4,5.8,11,7.3,16
39,955,30,4,5.9,11,7.3,15
40,980,30.1,5,5.7,11,7.3,16
41,780,32,5,5.7,11,7.3,15
42,1290,27.3,6,5.9,12,7.3,15
43,1440,27.4,6,5.9,12,7.3,14
44,1350,27,7,5.8,18,7.3,14
45,1490,25,7,5.8,18,7.3,14
46,1360,27,6,5.9,16,7,16
47,1330,23.8,6,5.9,16,7,16
48,1300,26.8,6,5.9,16,7,16
49,280,31.2,3,6,10,7,15
50,415,31,3,6,10,7,15
51,560,30.1,3,5.8,10,7,15
52,415,31,3,6,10,7,15
53,600,30.4,3,6,10,7,15
54,670,29.6,4,6,10,7,15
55,710,29.4,5,6,10,7,15
56,765,29.4,5,6,10,7.1,17
57,560,30.1,3,5.8,10,7,15
58,1075,27.2,4,5.9,15,6.8,17
59,1105,27.4,4,5.8,16,7,17
60,1010,27.4,5,6.1,15,6.8,17
61,1110,27.3,6,5.8,16,7,14
62,1275,27.1,6,5.9,16,7,14
63,1175,26.8,6,5.9,16,7,16
64,1350,26.8,6,5.9,16,7,16
65,280,31.2,3,5.8,11,7,15
66,550,30.1,3,6,10,7,15
67,705,30,4,5.8,10,7,15
68,500,29.9,3,6,11,7,15
69,640,29.4,4,6,11,7,15
70,765,30,5,6,10,7,15
71,815,29.5,5,6,10,7,15
72,1010,29.3,5,6,11,7,15
73,1035,29.3,5,5.9,11,7,15
74,1415,29.1,5,5.9,11,7,17
75,1350,27,7,5.8,18,7.3,14
76,990,28,9,5.9,14,7.7,15
77,1115,26.2,8,6,12,7.3,15
78,1395,26.1,8,5.9,12,7.3,15
79,910,28.1,9,5.9,14,7.7,15
80,900,28.8,6,6.9,16,7,16
81,350,31.2,3,6,13,7,14
82,555,30,3,6,10,7,15
83,915,30.1,4,6,10,7,15
84,765,30,5,6,10,7,15
85,805,29.1,5,6,12,7,14
86,920,27.7,8,5.9,18,7.3,14
87,930,27.8,8,5.9,14,7.3,15
88,1060,29.3,4,5.9,11,7.3,15
89,990,29.2,6,6.1,10,7,15
90,955,27.9,8,6,14,7.3,15
91,1220,27.3,8,5.8,18,7.3,14
92,1190,27.1,9,5.9,14,7.7,15
93,1740,25.6,8,5.9,12,7.3,15
94,1505,26.1,8,5.9,12,7.3,15
95,1390,26.8,6,5.9,16,7,16
96,910,28.8,6,6,16,7,16
97,480,30.9,4,5.5,13,7,14
98,700,29,4,6,10,7,15
99,990,29,5,6,10,7,15
100,790,29.4,5,6,10,7,15
101,1130,28.6,5,6,10,7,15
102,770,29.1,4,6,10,7,15
103,1060,26.1,6,5.9,15,6.3,14
104,1115,26.9,6,6,15,6.3,14
105,910,28.1,4,6,10,7,15
106,1375,29.1,5,5.9,15,6.3,14
107,1345,30.8,5,5.9,14,6.3,14
108,1195,27.3,8,6,14,7.7,15
109,1495,25.9,8,5.9,12,7.3,15
110,1375,26.7,8,6,12,7.3,15
111,970,29.3,6,6,15,7,16
112,930,29.8,5,6,16,7,16
113,480,30.9,4,5.8,13,7.2,16
114,770,28.1,5,6,10,7,15
115,985,29.1,4,6,10,7,15
116,910,28.1,5,6,10,7,15
117,1210,27.9,5,6,10,7,15
118,1015,29,4,6,10,7.3,15
119,1115,26.9,6,6,15,6.3,14
120,1350,27,7,5.8,18,7.3,14
121,1455,27.3,7,5.9,18,7.3,14
122,1375,28.1,6,5.8,14,6.3,14
123,1710,27,7,5.9,18,7.3,12
124,1200,27.2,8,6,14,7.7,15
125,1530,27.1,8,6,12,7.3,15
126,1000,28.1,8,5.9,16,7,11
127,985,29.2,7,6,16,6.9,15
128,930,29.8,5,5.9,14,6.3,14
129,580,30.9,4,5.8,13,7.2,16
130,730,30.2,4,6,13,7,14
131,815,29.9,5,6,13,7,14
132,870,30.1,4,6,13,7,15
133,1210,27.9,5,6,10,7,15
134,1405,26.3,6,6,15,7.5,15
135,915,29.1,4,6,14,7,15
136,1490,25,7,5.9,18,7.3,14
137,1510,25.1,7,6,18,7.3,14
138,1530,25.2,7,6,18,7.3,14
139,1570,25.3,7,6,18,7.1,13
140,1230,27,6,6.1,14,7.7,15
141,1490,25,7,5.8,18,7.3,14
142,1315,28.4,8,5.4,16,7,11
143,1005,29,7,6.1,16,6.9,15
144,1325,30.8,5,5.9,14,6.3,14
145,720,29.9,4,5.9,14,7.2,16
146,870,28,4,5.2,10,7.3,14
147,940,29.3,5,5.8,14,7.4,14
148,910,29.4,5,6.1,13,7,15
149,1340,26.2,7,6,10,7,15
150,1535,26.7,6,6.1,15,7.5,14
151,1110,30.2,6,5.8,16,7.2,15
152,1550,25.3,7,5.9,18,7.3,15
153,1195,27.3,8,6,14,7.7,15
154,795,28.1,6,6,11,7.7,15
155,1515,25,7,6,19,7.1,13
156,930,28,7,5.9,14,7.7,15
157,1295,26.9,8,5.8,18,7.3,14
158,1745,27.6,9,5.9,16,7,13
159,1105,29,7,6.2,16,6.4,16
160,1325,29.5,5,5.9,14,6.3,14
161,750,29.1,5,6,14,7.2,16
162,830,28,4,6,10,7,15
163,915,29.3,6,6,17,7.2,14
164,905,31,5,5.8,16,7.2,15
165,1355,26,7,6.1,10,7,15
166,1445,27.4,7,5.8,15,7.9,11
167,2000,24,8,5.4,16,7,10
168,1340,25.9,7,6,18,7.3,15
169,1140,26.3,7,6,18,7.3,15
170,1220,26.9,7,6,14,7.3,15
171,995,28.3,8,5.8,15,7.2,15
172,895,28.1,7,6,14,7.8,15
173,915,28.4,8,5.8,15,7.2,15
174,1945,27.4,9,5.9,16,7,13
175,1445,27.4,7,6,16,6.4,14
176,1525,28.5,5,5.5,13,6.3,14
177,755,29.1,5,6.3,14,7.1,15
178,935,27.6,5,5.2,10,7.3,14
179,1040,30.1,6,6,17,7.2,15
180,990,30,6,5.9,16,7.2,15
181,1405,26.1,8,6,10,7,15
182,1445,26.1,6,6,16,7.5,15
183,1715,26,6,6.1,16,7.5,15
184,1280,27.4,8,6,16,7,13
185,1905,21,9,5.8,16,7.2,15
186,1775,23.1,9,5.8,19,7.2,15
187,810,28.2,6,6,11,7.7,15
188,1715,26.1,9,6,15,7.2,13
189,1440,26.4,9,5.7,14,7.1,13
190,1905,21,9,5.8,16,7.2,15
191,1415,27.1,7,6.1,15,6.4,14
192,1550,28.1,5,5.3,12,6,13
193,820,29,5,6.1,14,7.1,15
194,905,31,5,5.8,16,7.2,15
195,1000,30,6,5.9,16,7.2,15
196,1870,28.1,5,6,13,7,15
197,1410,26.1,8,6,11,7,14
198,1380,27.4,9,5.8,12,7.7,11
199,1800,26.3,6,6,16,7.7,15
200,1480,27.4,8,6,16,7,13
201,2000,21.1,9,5.9,18,7.2,10
202,1315,26.5,8,5.8,15,7.2,14
203,1415,26.6,8,5.9,15,7.2,15
204,1715,26.3,9,5.9,15,7.2,15
205,1735,26.6,9,5.6,14,7.1,14
206,2005,21.4,9,5.9,16,7.2,15
207,1000,28.1,8,5.9,16,7,11
208,1910,26.2,9,5.8,14,7.1,14
209,900,28.1,6,5.8,15,7.2,14
210,955,30,6,5.8,16,7.2,15
211,955,28,6,5.8,15,7.2,15
212,1110,28.8,7,6,16,7,14
213,1430,26,9,6,15,7,14
214,1440,25.9,5,6,15,7.3,15
215,1810,26,6,6.1,16,7.7,15
216,690,28.1,8,5.9,16,7,13
217,1550,26.4,9,5.4,15,7.4,14
218,1490,26.9,9,5.9,15,7.2,14
219,1405,26.5,8,5.8,15,7.2,15
220,1400,26,9,5.8,16,7.2,15
221,1910,26.2,9,5.8,14,7.1,14
222,1715,24.7,9,5.8,14,7.1,14
223,1870,26.7,9,5.8,14,7.1,14
224,1900,26.2,9,5.8,14,7.1,14
225,930,28.1,6,5.8,15,7.2,14
226,1210,27.8,7,5.8,15,7.9,14
227,1445,27.4,7,5.8,15,7.9,11
228,1555,25.8,7,5.9,16,7,13
229,1345,28.4,8,5.9,16,7,13
230,1310,28.8,8,5.9,16,7,13
231,1250,27.8,8,5.8,16,7,13
232,1390,26.1,8,5.8,16,7,13
233,1715,22.1,9,5.8,16,7.2,15
234,1315,26.5,8,5.8,15,7.2,14
235,1315,26.4,8,5.8,15,7.2,15
236,1400,26.1,9,5.8,18,7.1,13
237,2710,23.9,8,5.6,16,7,13
238,1400,26.7,9,5.8,17,7.1,14
239,2010,27.1,9,5.8,16,7,13
240,2380,24.2,9,6.3,15,7.1,12
241,980,28,6,5.8,15,7.9,14
242,1180,27.9,7,5.8,15,7.9,14
243,1670,26.4,7,5.8,15,7.7,11
244,1430,27.4,7,5.8,15,7.7,11
245,1380,27.4,9,5.8,12,7.7,11
246,1905,21,9,5.8,16,7.2,15
247,1350,28.1,9,5.8,16,7,13
248,2000,25.7,9,5.4,16,7,10
249,1450,24.9,8,5.6,16,7,13
250,1565,25.7,8,5.6,16,7,13
251,2300,21,8,5.6,16,7,13
252,2410,23.1,8,5.6,16,7,13
253,1850,22.4,9,5.8,16,7.2,15
254,1490,22.9,9,6,14,7.2,15
255,2555,25.5,8,5.6,16,7,13
256,2350,23.8,9,6.1,16,7.3,10
257,1020,27,8,5.2,15,7.2,14
258,1395,26.8,8,5.2,15,7.2,10
259,1800,23.8,9,5.2,15,7.2,9
260,1495,21.9,8,5.2,15,7.2,10
261,1385,27.8,9,5.2,15,7.2,10
262,1385,27.8,9,5.2,15,7.2,9
263,1300,27,8,5.9,16,7,13
264,2090,24,8,5.4,16,7,10
265,1930,25.7,9,5.7,16,7,10
266,1350,28.1,9,5.8,16,7,13
267,1970,25.9,9,5.7,16,7,10
268,1870,26.1,9,5.8,16,7,10
269,2410,23.9,8,5.6,16,7,10
270,2490,21.1,9,6,16,7,10
271,2350,22.8,8,6,16,7,10
272,2730,21.8,9,6,16,7,10
273,1500,25.2,9,5.2,15,7.2,11
274,1340,25.8,9,5.2,15,7.2,11
275,1340,25.8,9,5.8,16,7,12
276,1390,26.8,8,5.9,16,7,12
277,1380,26.8,8,5.9,16,7,16
278,1190,27.8,8,5.9,16,7,16
279,1210,29.1,7,5.7,16,7,16
280,1220,29,7,5.7,16,7,16
281,1275,28.9,8,5.7,16,7,16
282,1375,28.8,7,5.7,16,7,16
283,1475,28.9,7,5.7,16,7,16
284,1375,28.7,7,5.7,16,7,16
285,1375,28.6,8,5.7,16,7,16
286,1395,28.3,8,5.7,14,7,16
287,1710,27.3,8,5.7,12,6.9,10
288,2050,23.8,9,6,16,7,10
